date,DIA,IVV,QQQ,SPY,VTI
2022-03-28,331.29034423828125,438.98779296875,358.07159423828125,437.67388916015625,220.0965576171875
2022-03-29,334.5891418457031,444.5874328613281,364.2339477539063,443.0882873535156,223.4329376220703
2022-03-30,333.7834777832031,441.8259582519531,360.2107849121094,440.3523254394531,221.6209259033203
2022-03-31,328.7688293457031,435.0181274414063,355.7460327148437,433.5746765136719,218.27493286132807
2022-04-01,329.8874206542969,436.0729064941406,355.06903076171875,434.8034362792969,219.1473846435547
2022-04-04,331.0532531738281,439.9177856445313,362.3793640136719,438.5282897949219,221.00733947753903
2022-04-05,328.30426025390625,434.2510681152344,354.3330383300781,432.9890747070313,217.77638244628903
2022-04-06,326.7972106933594,430.0322265625,346.63995361328125,428.6594848632813,215.2740936279297
2022-04-07,327.9535827636719,432.1607971191406,347.4642333984375,430.8194274902344,216.0890350341797
2022-04-08,329.2806701660156,431.0101623535156,342.6070556640625,429.6674499511719,215.4179229736328
2022-04-11,325.3278503417969,423.5599365234375,334.5018310546875,422.3234558105469,212.05274963378903
2022-04-12,324.3989562988281,421.93951416015625,333.0887756347656,420.7586669921875,211.40081787109372
2022-04-13,327.7544860839844,426.8776245117188,339.8594665527344,425.577880859375,214.17156982421875
2022-04-14,326.48016357421875,421.6039123535156,332.087890625,420.2786560058594,211.5637969970703
2022-04-18,326.2998962402344,421.7572937011719,332.34307861328125,420.4515075683594,211.1994781494141
2022-04-19,331.0602111816406,428.5651550292969,339.7711486816406,427.2386779785156,214.91937255859372
2022-04-20,333.3454895019531,428.181640625,334.8157958984375,426.921875,214.64134216308597
2022-04-21,329.72314453125,421.9779052734375,327.8880920410156,420.537841796875,211.1324005126953
2022-04-22,320.77154541015625,410.1744995117188,319.3021240234375,408.9986877441406,205.3799743652344
2022-04-25,322.9429931640625,412.7058715820313,323.4037170410156,411.3698120117188,206.501708984375
2022-04-26,315.25250244140625,400.6915893554688,311.1968688964844,399.4562377929688,200.61509704589844
2022-04-27,315.8025207519531,401.8996276855469,310.82403564453125,400.5794372558594,201.00811767578125
2022-04-28,321.7387390136719,411.9963073730469,321.8631591796875,410.6978454589844,205.9072723388672
2022-04-29,312.6354064941406,396.5397644042969,307.3797302246094,395.5202331542969,198.34288024902344
2022-05-02,313.6309814453125,399.09027099609375,312.5117492675781,397.9010925292969,199.83848571777344
2022-05-03,314.1146240234375,400.9407958984375,312.8453674316406,399.7250671386719,200.78762817382807
2022-05-04,322.9715270996094,413.0126647949219,323.42333984375,411.8979187011719,206.6742401123047
2022-05-05,313.15692138671875,398.35198974609375,307.1344299316406,397.2578430175781,199.05230712890625
2022-05-06,312.04742431640625,396.2041320800781,303.4547119140625,394.88665771484375,197.4512481689453
2022-05-09,305.9120483398437,383.4611206054688,291.5814208984375,382.2434997558594,190.4524688720703
2022-05-10,305.181884765625,384.2185974121094,295.12384033203125,383.1266784667969,190.8359832763672
2022-05-11,301.9861755371094,378.15869140625,286.37091064453125,377.0402526855469,187.38455200195312
2022-05-12,301.2085876464844,377.6025695800781,285.6938781738281,376.6466369628906,187.58587646484372
